table	code	root	start_line	start_digit	end_line	end_digit	grade	qualification
B	31291	ung	V4	47	V4	51	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31500	seh[r]	V4	52	V4	56	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31449	groß	V4	57	V4	61	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	41	hof	V4	62	V4	63	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31089	nu	V4	64	V4	68	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	99	[g]	V4	69	V4	70	I	contextual emendation; not a universal historical99 mapping
B	841	,	V4	71	V4	73	H	1752 Clavis Secunda, numeric (R1698 I7486 P3), 800 column: 841 coma
B	12	daß	V4	74	V4	75	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31142	scho	V4	76	V4	80	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31157	n	V4	81	V5	1	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31031	mi	V5	2	V5	6	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31183	no	V5	7	V5	11	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	8		V5	12	V5	12	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
B	31334	r	V5	13	V5	17	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31278	ca	V5	18	V5	22	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	44	an	V5	23	V5	24	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31345	Spanien	V5	25	V5	29	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31208	übr	V5	30	V5	34	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31361	laß	V5	35	V5	39	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	09	würde	V5	40	V5	41	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31437	wo	V5	42	V5	46	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31466	zu	V5	47	V5	51	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31365	sich	V5	52	V5	56	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31239	Frankreich	V5	57	V5	61	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31405	berg	V5	62	V5	66	M	uncertain handwriting or selected reading; see key-evidence.json
B	31034	i	V5	67	V5	71	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31259	t	V5	72	V5	76	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	14	zi	V5	77	V5	78	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31151	ge	V5	79	V5	83	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	54	un	V5	84	V6	1	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31326	d	V6	2	V6	6	I	proposed digit repair or token boundary after deletion; see emendations.json
B	31091	woll	V6	7	V6	11	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31304	leicht	V6	12	V6	16	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	95	en	V6	17	V6	18	I	proposed digit repair or token boundary after deletion; see emendations.json
B	31238	t	V6	19	V6	23	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31201	schluß	V6	24	V6	28	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31456	wird	V6	29	V6	33	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31274	al	V6	34	V6	38	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	06	da	V6	39	V6	40	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31307	n	V6	41	V6	45	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	26	dies	V6	46	V6	47	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	41	hof	V6	48	V6	49	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	44	an	V6	50	V6	51	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31210	den	V6	52	V6	56	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31144	krieg	V6	57	V6	61	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	94	mit	V6	62	V6	63	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31458	theil	V6	64	V6	68	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31408	ne	V6	69	V6	73	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31016	H	V6	74	V7	1	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	66	me	V7	2	V7	3	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	00	und	V7	4	V7	5	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	44	an	V7	6	V7	7	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
